age_group	gender	name_i	name_j	patient
00-04	Male	Clodronic acid	Iron	0
05-09	Male	Clodronic acid	Iron	0
10-14	Male	Clodronic acid	Iron	0
15-19	Male	Clodronic acid	Iron	0
20-24	Male	Clodronic acid	Iron	0
25-29	Male	Clodronic acid	Iron	0
30-34	Male	Clodronic acid	Iron	0
35-39	Male	Clodronic acid	Iron	0
40-44	Male	Clodronic acid	Iron	0
45-49	Male	Clodronic acid	Iron	0
50-54	Male	Clodronic acid	Iron	0
55-59	Male	Clodronic acid	Iron	0
60-64	Male	Clodronic acid	Iron	0
65-69	Male	Clodronic acid	Iron	0
70-74	Male	Clodronic acid	Iron	0
75-79	Male	Clodronic acid	Iron	0
80-84	Male	Clodronic acid	Iron	0
85-89	Male	Clodronic acid	Iron	0
>90	Male	Clodronic acid	Iron	1.46996134001676e-05
