age_group	gender	name_i	name_j	patient
00-04	Male	Phenytoin	Aminophylline	0
05-09	Male	Phenytoin	Aminophylline	0
10-14	Male	Phenytoin	Aminophylline	0
15-19	Male	Phenytoin	Aminophylline	0
20-24	Male	Phenytoin	Aminophylline	0
25-29	Male	Phenytoin	Aminophylline	0
30-34	Male	Phenytoin	Aminophylline	0
35-39	Male	Phenytoin	Aminophylline	0
40-44	Male	Phenytoin	Aminophylline	0
45-49	Male	Phenytoin	Aminophylline	0
50-54	Male	Phenytoin	Aminophylline	0
55-59	Male	Phenytoin	Aminophylline	0
60-64	Male	Phenytoin	Aminophylline	0.000272331154684096
65-69	Male	Phenytoin	Aminophylline	0
70-74	Male	Phenytoin	Aminophylline	0
75-79	Male	Phenytoin	Aminophylline	0
80-84	Male	Phenytoin	Aminophylline	0
85-89	Male	Phenytoin	Aminophylline	0
>90	Male	Phenytoin	Aminophylline	0
