age_group	gender	name_i	name_j	patient
00-04	Male	Ketoconazole	Calcium	0
05-09	Male	Ketoconazole	Calcium	0
10-14	Male	Ketoconazole	Calcium	0
15-19	Male	Ketoconazole	Calcium	0
20-24	Male	Ketoconazole	Calcium	0
25-29	Male	Ketoconazole	Calcium	0
30-34	Male	Ketoconazole	Calcium	0
35-39	Male	Ketoconazole	Calcium	0
40-44	Male	Ketoconazole	Calcium	0
45-49	Male	Ketoconazole	Calcium	0
50-54	Male	Ketoconazole	Calcium	0
55-59	Male	Ketoconazole	Calcium	0
60-64	Male	Ketoconazole	Calcium	0
65-69	Male	Ketoconazole	Calcium	0
70-74	Male	Ketoconazole	Calcium	0.000213675213675214
75-79	Male	Ketoconazole	Calcium	0
80-84	Male	Ketoconazole	Calcium	0
85-89	Male	Ketoconazole	Calcium	0
>90	Male	Ketoconazole	Calcium	0
