age_group	gender	name_i	name_j	patient
00-04	Male	Zidovudine	Valganciclovir	5.9890998382943e-05
05-09	Male	Zidovudine	Valganciclovir	0
10-14	Male	Zidovudine	Valganciclovir	0
15-19	Male	Zidovudine	Valganciclovir	0
20-24	Male	Zidovudine	Valganciclovir	0
25-29	Male	Zidovudine	Valganciclovir	0
30-34	Male	Zidovudine	Valganciclovir	0
35-39	Male	Zidovudine	Valganciclovir	0
40-44	Male	Zidovudine	Valganciclovir	0
45-49	Male	Zidovudine	Valganciclovir	0.000137760022041604
50-54	Male	Zidovudine	Valganciclovir	0
55-59	Male	Zidovudine	Valganciclovir	0
60-64	Male	Zidovudine	Valganciclovir	0
65-69	Male	Zidovudine	Valganciclovir	0
70-74	Male	Zidovudine	Valganciclovir	0
75-79	Male	Zidovudine	Valganciclovir	0
80-84	Male	Zidovudine	Valganciclovir	0
85-89	Male	Zidovudine	Valganciclovir	0
>90	Male	Zidovudine	Valganciclovir	0
